,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
2416,2019-04-13 00:00:00,SERC,Texas,Severe Weather,2963.668405011457,60467.0,04/13/2019
2417,2019-04-15 00:00:00,SERC,Virginia,Severe Weather,318171010.60976845,75290.0,04/15/2019
2418,2019-04-15 00:00:00,MRO,Minnesota,Vandalism,193.87276762299862,26829.72972972973,04/15/2019
2419,2019-04-16 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,04/16/2019
2420,2019-04-17 00:00:00,WECC,Arizona,System Operations,140.56575457814358,11390.25,04/17/2019
2421,2019-04-18 00:00:00,WECC,Colorado,Transmission Interruption,19.38439024748377,9019.057142857142,04/19/2019
2422,2019-04-18 00:00:00,SERC,Mississippi,Severe Weather,116.0,34695.0,04/19/2019
2423,2019-04-21 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,04/21/2019
2424,2019-04-25 00:00:00,WECC,Arizona,Generation Inadequacy,150.0,51366.0,04/25/2019
2425,2019-04-26 00:00:00,RF,Pennsylvania,Transmission Interruption,7.0,5830.0,04/26/2019
2426,2019-04-26 00:00:00,SERC,South Carolina,Severe Weather,4598.028909817714,54071.0,04/27/2019
2427,2019-04-26 00:00:00,NPCC,Massachusetts,Transmission Interruption,16.370022732034833,37383.10344827586,04/26/2019
2428,2019-04-28 00:00:00,SERC,South Carolina,System Operations,4598.028909817714,130797.42028985507,04/28/2019
2429,2019-04-28 00:00:00,RF,Ohio,Transmission Interruption,333.98545180267575,33853.63043478261,04/29/2019
2430,2019-04-29 00:00:00,SERC,Virginia,Vandalism,318171010.60976845,123193.76595744681,04/30/2019
2431,2019-04-30 00:00:00,RF,Indiana,System Operations,369.3945091338324,12165.0,04/30/2019
2432,2019-05-08 00:00:00,RF,Pennsylvania,Transmission Interruption,29.0,1.0,05/08/2019
2434,2019-05-09 00:00:00,TRE,Texas,Severe Weather,691.0,238015.0,05/11/2019
2435,2019-05-09 00:00:00,TRE,Texas,Transmission Interruption,227.61758764334965,75034.07073954983,05/10/2019
2436,2019-05-10 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,61008.0,05/10/2019
2437,2019-05-11 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,05/11/2019
2438,2019-05-15 00:00:00,RF,West Virginia,Suspicious Activity,318.8325409365747,50584.35294117647,05/15/2019
2439,2019-05-18 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,68000.0,05/20/2019
2440,2019-05-18 00:00:00,WECC,Wyoming,Vandalism,30.0,96689.14156310847,05/18/2019
2441,2019-05-23 00:00:00,SERC,Virginia,Severe Weather,318171010.60976845,100000.0,05/23/2019
2442,2019-05-23 00:00:00,RF,Indiana,Transmission Interruption,374.3609530759958,12165.0,05/23/2019
2443,2019-05-24 00:00:00,SERC,Kentucky,System Operations,40.01083712953746,20548.62962962963,05/24/2019
2444,2019-05-24 00:00:00,MRO,North Dakota,System Operations,200.21859003900676,2333.0416666666665,05/25/2019
2445,2019-05-24 00:00:00,WECC,California,Severe Weather,20.0,10961.0,05/24/2019
2446,2019-05-27 00:00:00,RF,Ohio,Transmission Interruption,347.0,70000.0,05/28/2019
2447,2019-06-02 00:00:00,WECC,California,Transmission Interruption,492.8332770163392,58512.31137724551,06/02/2019
2448,2019-06-04 00:00:00,WECC,Nevada,Suspicious Activity,2657.17670377655,220871.73214285713,06/04/2019
2449,2019-06-05 00:00:00,WECC,Idaho,Vandalism,68.50671081848073,1736.423076923077,06/05/2019
2450,2019-06-05 00:00:00,MRO,South Dakota,Vandalism,133.27538495011885,10002.0,06/05/2019
2451,2019-06-05 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,06/05/2019
2452,2019-06-06 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,55017.0,06/06/2019
2453,2019-06-07 00:00:00,TRE,Texas,Transmission Interruption,8.0,1.0,06/07/2019
2454,2019-06-08 00:00:00,TRE,Texas,Transmission Interruption,227.61758764334965,75034.07073954983,06/08/2019
2455,2019-06-09 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,558000.0,06/13/2019
2456,2019-06-11 00:00:00,MRO,North Dakota,Vandalism,200.21859003900676,2333.0416666666665,06/11/2019
2457,2019-06-11 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,06/11/2019
2458,2019-06-12 00:00:00,WECC,California,Generation Inadequacy,982.0,30907.0,06/12/2019
2459,2019-06-16 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,340000.0,06/17/2019
2460,2019-06-16 00:00:00,SPPRE,Oklahoma,Transmission Interruption,26.712166016809903,52398.09523809524,Unknown
2461,2019-06-18 00:00:00,WECC,Washington,Suspicious Activity,271.4139681316148,55748.43961352657,06/18/2019
2462,2019-06-19 00:00:00,SPPRE,Oklahoma,Vandalism,27.96030422375822,52398.09523809524,06/19/2019
2463,2019-06-19 00:00:00,SPPRE,Arkansas,Severe Weather,11.723842336006335,82045.0,06/20/2019
2464,2019-06-19 00:00:00,WECC,Nevada,Vandalism,2657.17670377655,220871.73214285713,Unknown
2465,2019-06-20 00:00:00,SERC,Virginia,Severe Weather,318171010.60976845,60000.0,06/21/2019
2466,2019-06-21 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,06/21/2019
2467,2019-06-21 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,50000.0,Unknown
2468,2019-06-21 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,06/21/2019
2469,2019-06-22 00:00:00,SERC,Georgia,Severe Weather,115.0,34637.0,06/23/2019
2470,2019-06-23 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,265000.0,06/25/2019
2471,2019-06-23 00:00:00,SPPRE,Arkansas,Transmission Interruption,47.0,16199.0,06/23/2019
2472,2019-06-24 00:00:00,SPPRE,Oklahoma,System Operations,29.814564170338702,52398.09523809524,06/24/2019
2473,2019-06-24 00:00:00,SPPRE,Arkansas,Severe Weather,11.723842336006335,56451.0,06/24/2019
2474,2019-06-26 00:00:00,MRO,North Dakota,Transmission Interruption,53.0,2333.0416666666665,06/26/2019
2475,2019-06-28 00:00:00,WECC,Idaho,Transmission Interruption,68.50671081848073,1736.423076923077,Unknown
2476,2019-06-30 00:00:00,NPCC,New York,Severe Weather,3189.0,52498.0,06/30/2019
2477,2019-06-30 00:00:00,SERC,Illinois,Severe Weather,31.150305723688334,100000.0,06/30/2019
2478,2019-07-02 00:00:00,WECC,Idaho,Vandalism,68.50671081848073,1736.423076923077,07/02/2019
2479,2019-07-06 00:00:00,SERC,Mississippi,Vandalism,453.3753940828816,3000.0,07/07/2019
2480,2019-07-09 00:00:00,SPPRE,Texas,Vandalism,101.30079421343446,30902.2,07/09/2019
2481,2019-07-10 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,57000.0,07/12/2019
2482,2019-07-10 00:00:00,WECC,Utah,Vandalism,131.05445040885473,9238.970149253732,07/10/2019
2483,2019-07-11 00:00:00,TRE,Texas,Transmission Interruption,26.0,2043.0,07/11/2019
2484,2019-07-13 00:00:00,SERC,Washington,Severe Weather,44881233.42969035,63000.0,07/14/2019
2485,2019-07-13 00:00:00,SERC,Louisiana,Severe Weather,120.93986388353828,55730.0,07/14/2019
2486,2019-07-13 00:00:00,NPCC,New York,Transmission Interruption,452.0,72669.0,07/13/2019
2487,2019-07-17 00:00:00,SPPRE,Oklahoma,Suspicious Activity,36.48879132796132,52398.09523809524,07/17/2019
