,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
2488,2019-07-19 00:00:00,RF,Michigan,Severe Weather,485.892120885498,400000.0,07/21/2019
2489,2019-07-19 00:00:00,MRO,Wisconsin,System Operations,81.56188381985727,27010.277777777777,07/19/2019
2490,2019-07-20 00:00:00,SERC,Missouri,Suspicious Activity,82.32797873704556,36113.92682926829,07/20/2019
2491,2019-07-20 00:00:00,RF,Wisconsin,Severe Weather,200.0,50000.0,07/23/2019
2492,2019-07-20 00:00:00,RF,Michigan,Severe Weather,485.892120885498,160000.0,07/22/2019
2493,2019-07-21 00:00:00,NPCC,New York,Severe Weather,60.0,45000.0,07/22/2019
2494,2019-07-22 00:00:00,RF,Pennsylvania,Severe Weather,148.56996722614406,165000.0,07/24/2019
2495,2019-07-22 00:00:00,RF,New Jersey,Severe Weather,49.0,95600.0,07/25/2019
2496,2019-07-23 00:00:00,MRO,Nebraska,Transmission Interruption,71.21943582300112,14684.21052631579,07/23/2019
2497,2019-07-23 00:00:00,WECC,California,Vandalism,492.8332770163392,25.0,07/23/2019
2498,2019-07-23 00:00:00,MRO,Nebraska,Transmission Interruption,71.21943582300112,14684.21052631579,07/24/2019
2499,2019-07-23 00:00:00,NPCC,Massachusetts,Severe Weather,54.0,54535.0,07/23/2019
2500,2019-07-24 00:00:00,WECC,Utah,Vandalism,131.05445040885473,1.0,07/24/2019
2501,2019-07-24 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,07/24/2019
2502,2019-07-28 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,07/28/2019
2503,2019-07-30 00:00:00,SERC,Louisiana,Transmission Interruption,120.93986388353828,13720.0,07/30/2019
2504,2019-08-02 00:00:00,WECC,Washington,System Operations,271.4139681316148,55748.43961352657,08/02/2019
2505,2019-08-02 00:00:00,MRO,Minnesota,Transmission Interruption,193.87276762299862,26829.72972972973,08/02/2019
2506,2019-08-05 00:00:00,WECC,Oregon,Transmission Interruption,66.0,4712.045454545455,08/06/2019
2507,2019-08-07 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,08/07/2019
2508,2019-08-07 00:00:00,WECC,Washington,Vandalism,271.4139681316148,55748.43961352657,Unknown
2509,2019-08-07 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,08/07/2019
2510,2019-08-08 00:00:00,RF,Ohio,Transmission Interruption,333.98545180267575,5600.0,08/08/2019
2511,2019-08-09 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,08/09/2019
2512,2019-08-10 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,08/10/2019
2513,2019-08-10 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,08/10/2019
2514,2019-08-13 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,08/13/2019
2515,2019-08-13 00:00:00,MRO,North Dakota,Vandalism,200.21859003900676,2333.0416666666665,Unknown
2516,2019-08-13 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,75034.07073954983,08/13/2019
2517,2019-08-15 00:00:00,NPCC,New York,Fuel Supply Deficiency,150.0,54921.72173913044,Unknown
2519,2019-08-15 00:00:00,SERC,Ohio,Vandalism,45023169.900935054,52000.0,08/15/2019
2520,2019-08-15 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,75034.07073954983,08/15/2019
2521,2019-08-15 00:00:00,RF,Maryland,System Operations,134.8943673947547,39661.69565217391,08/15/2019
2524,2019-08-18 00:00:00,SPPRE,Texas,Transmission Interruption,271.0,86373.0,08/18/2019
2525,2019-08-21 00:00:00,RF,Ohio,Vandalism,333.98545180267575,1397.0,Unknown
2526,2019-08-21 00:00:00,NPCC,Massachusetts,Vandalism,16.370022732034833,37383.10344827586,Unknown
2527,2019-08-24 00:00:00,WECC,Washington,Suspicious Activity,271.4139681316148,55748.43961352657,08/24/2019
2528,2019-08-25 00:00:00,WECC,Washington,Suspicious Activity,271.4139681316148,55748.43961352657,08/25/2019
2529,2019-08-26 00:00:00,MRO,North Dakota,Transmission Interruption,200.21859003900676,2333.0416666666665,08/26/2019
2530,2019-08-26 00:00:00,SPPRE,Oklahoma,Transmission Interruption,38.19374683599212,95000.0,08/27/2019
2531,2019-08-26 00:00:00,SPPRE,Oklahoma,Severe Weather,39.97836717200358,103779.0,08/29/2019
2532,2019-08-29 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,08/30/2019
2533,2019-08-31 00:00:00,RF,Pennsylvania,System Operations,148.56996722614406,56300.70909090909,08/31/2019
2534,2019-08-31 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,09/02/2019
2535,2019-09-04 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,75034.07073954983,09/06/2019
