,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
20,2004-05-03 00:00:00,WECC,2:30 p.m.,Central and Southern California,Heat Storm,662,Approx. 940,2004-05-03 00:00:00
21,2004-05-11 00:00:00,ERCOT,3:30 p.m.,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,Approx. 85,"62,500 at peak ",2004-05-11 00:00:00
22,2004-05-21 00:00:00,ECAR,2:00 a.m.,Akron and Youngstown areas,Severe Thunderstorms,"133 on 5/21/04  between 3:00 a.m. and 4:00  a.m., 392 on 5/21/04 between 4:00 p.m. and 5:00 p.m.",281000,2004-05-24 00:00:00
23,2004-05-21 00:00:00,ECAR,2:00 a.m.,Cleveland area,Severe Thunderstorms,177 on 5/21/04 between 3:00 p.m. and 5:00 p.m.,127000,2004-05-24 00:00:00
24,2004-05-21 00:00:00,MAAC,5:30 a.m. ,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,"60 at peak, ","94,366 at peak, ",2004-05-25 00:00:00
25,2004-05-21 00:00:00,ECAR,11:00 a.m.,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",Severe Thunderstorms,303,122600,2004-05-26 00:00:00
26,2004-05-21 00:00:00,ECAR,1:00 p.m.,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",Severe Thunderstorms,200,248209,2004-05-25 00:00:00
27,2004-05-21 00:00:00,ECAR,4:00  p.m.,Southeast Michigan,Severe Thunderstorms,630,"Greater than 250,000",2004-05-24 00:00:00
28,2004-05-28 00:00:00,FRCC ,12:00 p.m.,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,2004-05-31 00:00:00
29,2004-05-28 00:00:00,FRCC,12:00 p.m.,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,2004-05-31 00:00:00
30,2004-05-28 00:00:00,FRCC,12:00 p.m.,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals ,0,0,2004-05-31 00:00:00
31,2004-06-01 00:00:00,ERCOT,5:00 p.m.,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",Severe Storms with Strong Winds,1900,500000,2004-06-02 00:00:00
32,2004-06-02 00:00:00,ECAR,1:46 a.m.,"Shreveport, Louisiana",Severe  Thunderstorms with Strong Winds,350,59057,2004-06-07 00:00:00
33,2004-06-02 00:00:00,ECAR,2:35 a.m.,"Tulsa, Oklahoma",Severe Thunderstorms with Strong Winds,280,56874,2004-06-06 00:00:00
34,2004-06-12 00:00:00,MAPP,5:37 p.m.,"Lincoln, Nebraska",Tornado,428,120212,2004-06-12 00:00:00
35,2004-06-14 00:00:00,WECC ,7:41 a.m.,"Phoenix, Arizona",Fault on Line,200,30000,2004-06-14 00:00:00
36,2004-06-23 00:00:00,WECC,5:35 p.m.,Southern Idaho,Load Shedding,157,35000,2004-06-23 00:00:00
37,2004-06-23 00:00:00,SERC,7:00 p.m.,Georgia and Alabama,Thunderstorms,50,50595,2004-06-23 00:00:00
38,2004-07-06 00:00:00,WECC,6:00 a.m.,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,-,-,2004-08-09 00:00:00
39,2004-07-06 00:00:00,WECC ,6:00 a.m.  ,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,-,-,2004-08-09 00:00:00
40,2004-07-07 00:00:00,SERC,1:30 p.m.,Central Virginia,Severe Thunderstorms,120,88110,2004-07-07 00:00:00
41,2004-07-13 00:00:00,FRCC,1:34 p.m.,"Leon  County, Florida",Units Tripped,283,42124,2004-07-13 00:00:00
42,2004-07-13 00:00:00,ECAR,4:30 p.m.,"West, West Central and Southern Indiana",Severe Thunderstorms,600,135000,2004-07-17 00:00:00
43,2004-07-20 00:00:00,WECC,2:26 p.m. ,"Soledad Canyon near Acton, California",Wildfire/Shed Interruptible Load,214,-,2004-07-21 00:00:00
44,2004-07-20 00:00:00,PR,3:44 p.m.,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",Wildfire,200,61624,2004-07-20 00:00:00
45,2004-07-21 00:00:00,MAIN,5:30 p.m.,"Chicago, Illinois",Severe Thunderstorms,Approx. 200,200000,2004-07-22 00:00:00
46,2004-07-24 00:00:00,SPP,3:45 p.m.,Southwest Louisiana in the Acadia Parish vicinity,Public Appeal  ,-,-,2004-07-25 00:00:00
